@TIME_PERIOD,@OBS_VALUE
2015-06,5
2015-07,5
2015-08,5
2015-09,5
2015-10,6.25
2015-11,6.25
2015-12,6.075
2016-01,6.075
2016-02,6.075
2016-03,6.125
2016-04,6.5
2016-05,6.5
2016-06,6.5
2016-07,6.5
2016-08,6.5
2016-09,6.5
2016-10,6.5
2016-11,6.05
2016-12,6.05
2017-01,6.05
2017-02,6.05
2017-03,6.05
2017-04,7.55
2017-05,7.55
2017-06,7.55
2017-07,7.75
2017-08,7.55
2017-09,7.55
2017-10,7.55
2017-11,7.55
2017-12,7.55
2018-01,7.55
2018-02,7.55
2018-03,7.55
2018-04,7.55
2018-05,7.55
2018-06,7.55
2018-07,7.55
2018-08,7.55
2018-09,7.55
2018-10,7.55
2018-11,7.55
2018-12,7.55
2019-01,7.55
2019-02,7.55
2019-03,7.55
2019-04,7.55
2019-05,7.55
2019-06,7.55
2019-07,7.55
2019-08,7.55
2019-09,7.55
2019-10,7.55
2019-11,7.55
2019-12,7.55
2020-01,7.55
2020-02,7.55
2020-03,7.55
2020-04,7.55
2020-05,7.55
2020-06,7.55
